Close,Mkt-RF,SMB,HML,RMW,CMA,RF
1.5462706457529896,0.54,-0.36,-0.11,0.0,-0.08,0.06
-3.5530225035044105,0.18,0.2,-0.12,-0.27,0.12,0.06
6.315375909820009,0.7,-0.77,-0.21,0.02,0.25,0.06
1.485044109435707,1.16,0.01,-0.7,0.12,0.0,0.06
3.4153180143730477,0.96,0.16,-0.48,0.36,-0.41,0.06
0.4716568422282297,0.6,-0.03,-0.44,0.03,-0.47,0.05
-1.4083689354556839,-0.92,0.72,0.55,-0.59,0.1,0.05
-0.9531763560377771,0.14,-0.02,0.3,-0.21,0.04,0.05
-0.48075594589449544,-0.51,0.61,0.19,-0.2,0.23,0.05
-0.9660978501691342,-0.09,0.44,0.16,-0.61,0.26,0.05
-7.804399701721543,0.73,-0.39,-0.46,0.11,-0.14,0.05
-4.7625362238775,-0.46,0.03,0.54,-0.26,0.28,0.05
-3.8886670386783173,-0.32,0.05,0.35,-0.24,0.06,0.05
4.0460026084990774,2.21,-1.07,-0.68,0.1,-0.27,0.05
-1.1110905763932255,0.08,0.24,0.5,-0.74,0.0,0.05
3.933386510256587,1.02,-0.31,-0.06,-0.13,0.26,0.05
4.864524570458384,-0.45,0.35,0.71,-0.02,0.16,0.05
6.1851903157926325,0.22,0.22,0.28,-0.18,0.31,0.05
-0.9708040138932561,-0.5,0.85,0.6,-0.6,0.48,0.05
0.9803210096035242,0.62,0.34,-0.28,0.16,-0.24,0.05
3.8841207177877424,1.02,-0.49,-0.99,1.09,-0.69,0.05
-0.4672411157857992,-0.58,0.45,-0.28,0.33,-0.34,0.05
-1.878678368104747,1.54,-0.56,-0.46,0.16,-0.42,0.05
-1.913740109982942,-0.45,0.55,0.1,0.0,-0.33,0.05
-3.4144089394520405,-1.01,0.68,0.08,-0.21,0.14,0.05
0.0,-0.3,0.22,-0.07,-0.04,0.23,0.05
-1.010052141370965,1.04,-0.2,-0.09,-0.13,-0.2,0.05
-1.0203671782765156,0.49,0.2,0.0,0.1,0.07,0.05
8.763262690854212,-0.09,0.41,0.2,-0.2,0.21,0.05
0.4739251601886263,-0.49,0.63,0.26,-0.01,-0.09,0.05
-1.88753928317128,-1.11,0.35,0.15,0.11,0.03,0.05
-0.9614700243049223,-0.03,0.39,0.23,-0.04,0.17,0.05
4.854958550829225,0.32,0.11,0.21,0.02,-0.09,0.05
1.8517406079498144,0.36,0.26,0.44,-0.15,0.32,0.05
1.3635440618866124,0.02,0.53,-0.12,-0.03,0.04,0.05
0.0,-1.04,0.5,0.33,0.24,0.15,0.05
0.0,-0.55,0.16,0.73,0.05,-0.05,0.05
-4.932421651157782,1.02,-0.18,-0.4,0.23,-0.36,0.05
-5.660876175434937,0.45,0.39,-0.43,0.09,-0.21,0.05
2.999831753394444,0.54,-0.03,-0.32,0.54,-0.18,0.05
6.796600397763863,-0.94,0.61,0.37,0.17,0.48,0.05
3.636085831487068,-0.08,0.21,0.37,0.04,0.14,0.05
2.631415513826685,-0.02,0.48,-0.06,-0.14,0.24,0.05
-0.8546019950488537,0.7,-0.18,-0.13,0.21,0.08,0.05
-0.8620659885010262,0.21,-0.23,0.04,-0.22,0.15,0.05
-1.7389729259782216,-0.94,-0.24,0.63,-0.09,0.29,0.05
-1.3273613708540188,-0.95,0.13,0.19,-0.06,0.15,0.05
1.793555331645158,0.0,0.18,-0.42,-0.11,0.04,0.05
0.0,-0.18,-0.02,-0.28,0.09,-0.17,0.06
-0.44043855723312486,-1.53,-0.32,0.43,0.01,0.19,0.06
-0.4425257181177922,-0.41,-0.38,-0.36,0.4,-0.51,0.06
-2.6664376419422875,0.4,-0.05,-0.39,0.44,-0.5,0.06
1.369738164583345,0.73,-0.2,-0.34,0.21,-0.13,0.06
0.9008172872565279,0.09,0.36,0.07,-0.06,-0.09,0.06
-2.2319414266315007,-1.41,0.4,0.72,-0.43,0.32,0.06
0.0,0.65,-0.55,0.16,-0.06,0.15,0.06
-0.4565899920169092,-0.04,0.53,-0.16,-0.66,0.0,0.06
-1.3760608852034228,0.56,0.09,0.18,-0.19,-0.2,0.06
2.3254368993698815,0.61,-0.11,0.26,-0.07,-0.14,0.06
1.8179954154278866,0.15,0.02,-0.33,0.26,-0.14,0.06
-1.7855344804327267,-0.32,0.03,0.0,0.16,-0.06,0.06
3.181555310753059,0.1,0.42,-0.4,0.13,-0.23,0.06
5.72734318276622,-0.11,0.42,0.11,-0.07,-0.08,0.06
4.582978073981847,-0.01,0.39,-0.11,-0.07,-0.25,0.06
-0.3983175501891867,0.88,-0.48,-0.39,0.47,-0.37,0.06
5.599610365444052,0.64,0.26,-0.23,0.3,-0.12,0.06
0.0,-0.16,0.83,0.29,-0.41,0.32,0.06
0.378744071753756,-0.48,0.68,0.35,0.0,0.26,0.06
0.0,-0.23,0.32,0.36,0.01,0.45,0.06
-4.905285775258827,-1.45,0.23,0.9,-0.11,0.57,0.06
